Sex;Age;Region;Fstat;Children;Ed;Emp;Years;Group;Comp;Market;Sphere;Interview;DigitalTech;Vid;Chat;Lk;Social1;Social2;Social3;AI;VR;AdvVR;AdvDig;DisadvDig;Level
Женский;32–38;Центральный ФО/ исключая Москву и МО;Не женат/ не замужем;3-е детей;Специалитет;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;В последние 2 месяца;Сервис для видеоинтервью/ Социальные сети;Занимают много времени/ не вижу в них пользы для соискателя;В зависимости от уровня позиции;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;2;LinkedIn;Нейтрально;Отрицательно;Нет;Затрудняюсь ответить;Затрудняюсь ответить;Замедляют процесс трудоустройства;3
Женский;25–31;Центральный ФО/ исключая Москву и МО;Женат/замужем;Нет детей;Среднее общее;Работаю в компании (полная занятость);От 3-х лет до 5-ти лет;Стажер/ассистент;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Административная функция;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат занимает много времени/ легче отправить резюме через e-mail или сервис с вакансиями;1;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Нейтрально;Затрудняюсь ответить;Затрудняюсь ответить;Ускоряют процесс подбора;Зачастую нет адаптации на русский язык;3
Мужской;25–31;Москва и МО;Женат/замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 3-х лет до 5-ти лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;В последние 2 месяца;Социальные сети;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;1;Затрудняюсь ответить;Положительно;Отрицательно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Замедляют процесс трудоустройства/ Зачастую нет адаптации на русский язык;2
Женский;18–24;Уральский ФО;Женат/замужем;2-е детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Представитель HR-функции;Российская компания (численность сотрудников в России свыше 500 чел.);Информационные технологии;Управление персоналом;В последние 2 месяца;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Думаю/ пока у соискателей есть определённое недоверие к чат-ботам + из-за неточности ответов/слишком долгого времени ответа можно потерять потенциального кандидата ;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат занимает много времени/ легче отправить резюме через e-mail или сервис с вакансиями/ Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;2;LinkedIn/ Instagram/ Telegram;Нейтрально;Нейтрально;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Зачастую нет адаптации на русский язык;4
Женский;18–24;Москва и МО;Женат/замужем;Нет детей;Магистратура;Меня уволили;От 1 года до 3-х лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;От 1 года до 2 лет назад;Сервис для видеоинтервью/ Социальные сети;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;5;LinkedIn;Положительно;Отрицательно;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя;Зачастую нет адаптации на русский язык;4
Женский;18–24;Москва и МО;Женат/замужем;1 ребенок;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Стажер/ассистент;Российская компания (численность сотрудников в России свыше 500 чел.);Государственный сектор;Государственная служба;В последние 2 месяца;Никакими;Затрудняюсь ответить;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;1;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Положительно;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Делают процесс подбора более увлекательным;Слишком сложны в использовании/ Зачастую нет адаптации на русский язык;1
Женский;18–24;Москва и МО;Женат/замужем;Нет детей;Магистратура;Меня сократили;От 1 года до 3-х лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;Меньше года назад/ но более 2-месяцев назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Занимают много времени/ не вижу в них пользы для соискателя;Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат занимает много времени/ легче отправить резюме через e-mail или сервис с вакансиями/ Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями/ Если компания предлагает только такой формат подачи отклика/ я отказываюсь от отправки резюме;4;Facebook/ LinkedIn/ Instagram;Положительно;Нейтрально;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Никак не влияют на скорость трудоустройства;3
Женский;18–24;Москва и МО;Женат/замужем;Нет детей;Магистратура;Работаю в компании (полная занятость);От 1 года до 3-х лет;Представитель HR-функции;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Развитие бизнеса;В последние 2 месяца;Сервис для видеоинтервью/ Чат-боты/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером)/ Занимают много времени/ не вижу в них пользы для соискателя;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером/ Наблюдаю много ошибок и неточностей в работе чат-бота/ Инструмент полезный/ но компании неуместно его применяют;Такой формат занимает много времени/ легче отправить резюме через e-mail или сервис с вакансиями/ Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;3;Facebook/ LinkedIn/ Instagram/ ВКонтакте;Нейтрально;Нейтрально;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Слишком сложны в использовании;2
Женский;25–31;Москва и МО;Женат/замужем;Нет детей;Специалитет;Веду проекты на фрилансе;От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Государственный сектор;Юриспруденция;В последние 2 месяца;Никакими;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;5;Instagram;Положительно;Отрицательно;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Делают процесс подбора более увлекательным;Зачастую нет адаптации на русский язык;2
Мужской;18–24;Москва и МО;Состою в гражданском браке;1 ребенок;Бакалавриат;Я еще только учусь/ не работал(-а);До 1 года;Я еще только учусь/ не работал(-а);Не работал(-а) в организациях;Не работал(-а);Не работал(-а);Меньше года назад/ но более 2-месяцев назад;Никакими;Затрудняюсь ответить;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером/ Инструмент полезный/ но компании неуместно его применяют;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;3;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Нейтрально;Затрудняюсь ответить;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Делают процесс подбора более увлекательным;Затрудняюсь ответить;3
Женский;25–31;Москва и МО;Не женат/ не замужем;1 ребенок;Специалитет;Работаю в компании (полная занятость);От 3-х лет до 5-ти лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Государственный сектор;Юриспруденция;Более 4-х лет назад;Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Инструмент полезный/ но компании неуместно его применяют;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями/ Если компания предлагает только такой формат подачи отклика/ я отказываюсь от отправки резюме;3;Facebook/ Instagram;Положительно;Положительно;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Делают процесс подбора более увлекательным;Никак не влияют на скорость трудоустройства;4
Женский;25–31;Москва и МО;Женат/замужем;Нет детей;Специалитет;Веду проекты на фрилансе;От 3-х лет до 5-ти лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Консалтинг;Юриспруденция;Более 4-х лет назад;Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ не вижу в них пользы для соискателя/ Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;4;Instagram;Нейтрально;Нейтрально;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Делают процесс подбора более увлекательным;Зачастую нет адаптации на русский язык/ Затрудняюсь ответить;3
Мужской;18–24;Южный ФО / Северо-Кавказский ФО / Крым;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);IT;От 1 года до 2 лет назад;Сервис для видеоинтервью/ Социальные сети;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Затрудняюсь ответить;Затрудняюсь ответить;2;Instagram/ Telegram/ ВКонтакте;Положительно;Нейтрально;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя/ Затрудняюсь ответить;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Затрудняюсь ответить;3
Мужской;18–24;Москва и МО;Женат/замужем;2-е детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Стажер/ассистент;Российская компания (численность сотрудников в России до 100 чел.);Консалтинг;Маркетинг / PR / Реклама/ Digital;В последние 2 месяца;Чат-боты/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Не работал с ними/ но представляется что что бы использовать сервис потребуется много времени ;Мне не понравилось/ теряется живое общение ;Затрудняюсь ответить;2;Instagram/ Telegram/ ВКонтакте;Нейтрально;Отрицательно;Нет;Затрудняюсь ответить/ Было бы интересно узнать о преимуществах ;Ускоряют процесс подбора;Слишком сложны в использовании;2
Женский;18–24;Южный ФО / Северо-Кавказский ФО / Крым;Женат/замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Услуги;Продажи;Меньше года назад/ но более 2-месяцев назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;4;Instagram;Нейтрально;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора;Затрудняюсь ответить;3
Женский;18–24;Южный ФО / Северо-Кавказский ФО / Крым;Не женат/ не замужем;1 ребенок;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Медиа / Индустрия развлечений;Продажи;Меньше года назад/ но более 2-месяцев назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Занимают много времени/ не вижу в них пользы для соискателя;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;4;Instagram;Нейтрально;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора;Затрудняюсь ответить;3
Женский;18–24;Южный ФО / Северо-Кавказский ФО / Крым;Женат/замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России от 100 до 500 чел.);Образовательный сектор;Административная функция;От 2-х лет до 4-х лет назад;Социальные сети;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;Instagram;Положительно;Нейтрально;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Положительно влияют на бренд работодателя;Замедляют процесс трудоустройства/ Слишком сложны в использовании;3
Женский;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России от 100 до 500 чел.);Промышленное оборудование (техника/ станки/ комплектующие);Проектный офис;От 1 года до 2 лет назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;2;Facebook/ LinkedIn/ Instagram/ Telegram;Положительно;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Делают процесс подбора более увлекательным;Замедляют процесс трудоустройства;2
Женский;25–31;Москва и МО;Женат/замужем;1 ребенок;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Информационные технологии;IT;От 1 года до 2 лет назад;Сервис для видеоинтервью;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;Instagram/ Telegram/ ВКонтакте;Положительно;Положительно;Затрудняюсь ответить;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора;Никак не влияют на скорость трудоустройства;4
